"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2023-08-01";"Instalacion de gas";384.592443980534;"Ítems"
"2023-08-01";"Instalacion electrica";368.970332905563;"Ítems"
"2023-08-01";"Carpinteria metalica y herreria";375.042692627676;"Ítems"
"2023-08-01";"Carpinteria de madera";390.73251820906;"Ítems"
"2023-08-01";"Ascensores";363.246931114944;"Ítems"
"2023-08-01";"Vidrios";394.630329721724;"Ítems"
"2023-08-01";"Pintura";321.980479869866;"Ítems"
"2023-08-01";"Otros trabajos y gastos";343.354689074352;"Ítems"
"2023-09-01";"Movimiento de tierras";369.082478260615;"Ítems"
"2023-09-01";"Estructura";382.361720566186;"Ítems"
"2023-09-01";"Albanileria";375.116629468782;"Ítems"
"2023-09-01";"Yeseria";368.029399610367;"Ítems"
"2023-09-01";"Instalacion sanitaria y contraincendio";433.382952506182;"Ítems"
"2023-09-01";"Instalacion de gas";432.833575078963;"Ítems"
"2023-09-01";"Instalacion electrica";398.448705367253;"Ítems"
"2023-09-01";"Carpinteria metalica y herreria";406.998671784916;"Ítems"
"2023-09-01";"Carpinteria de madera";430.636059406374;"Ítems"
"2023-09-01";"Ascensores";405.212032058436;"Ítems"
"2023-09-01";"Vidrios";440.667628030244;"Ítems"
"2023-09-01";"Pintura";349.00656480567;"Ítems"
"2023-09-01";"Otros trabajos y gastos";393.425980494667;"Ítems"
"2023-10-01";"Movimiento de tierras";376.310641056338;"Ítems"
"2023-10-01";"Estructura";395.684141023701;"Ítems"
"2023-10-01";"Albanileria";384.967488780205;"Ítems"
"2023-10-01";"Yeseria";418.029399610367;"Ítems"
"2023-10-01";"Instalacion sanitaria y contraincendio";506.041961280505;"Ítems"
"2023-10-01";"Instalacion de gas";486.747820900378;"Ítems"
"2023-10-01";"Instalacion electrica";440.799803729146;"Ítems"
"2023-10-01";"Carpinteria metalica y herreria";484.82185862537;"Ítems"
"2023-10-01";"Carpinteria de madera";499.84470351495;"Ítems"
"2023-10-01";"Ascensores";448.123161205235;"Ítems"
"2023-10-01";"Vidrios";490.684192064853;"Ítems"
"2023-10-01";"Pintura";386.559577063847;"Ítems"
"2023-10-01";"Otros trabajos y gastos";418.108971312333;"Ítems"
"2023-11-01";"Movimiento de tierras";428.649267372527;"Ítems"
"2023-11-01";"Estructura";437.133581853447;"Ítems"
"2023-11-01";"Albanileria";427.726792951471;"Ítems"
"2023-11-01";"Yeseria";476.633803648385;"Ítems"
"2023-11-01";"Instalacion sanitaria y contraincendio";564.487557992408;"Ítems"
"2023-11-01";"Instalacion de gas";588.468055687348;"Ítems"
"2023-11-01";"Instalacion electrica";488.682343172039;"Ítems"
"2023-11-01";"Carpinteria metalica y herreria";527.107264314801;"Ítems"
"2023-11-01";"Carpinteria de madera";555.084319429559;"Ítems"
"2023-11-01";"Ascensores";522.958303743533;"Ítems"
"2023-11-01";"Vidrios";549.337438615637;"Ítems"
"2023-11-01";"Pintura";450.726195317493;"Ítems"
"2023-11-01";"Otros trabajos y gastos";453.178646793787;"Ítems"
"2023-12-01";"Movimiento de tierras";545.379103327045;"Ítems"
"2023-12-01";"Estructura";576.188838604069;"Ítems"
"2023-12-01";"Albanileria";519.315773783146;"Ítems"
"2023-12-01";"Yeseria";613.102898636283;"Ítems"
"2023-12-01";"Instalacion sanitaria y contraincendio";801.173493437864;"Ítems"
"2023-12-01";"Instalacion de gas";885.927693204463;"Ítems"
"2023-12-01";"Instalacion electrica";688.453989582547;"Ítems"
"2023-12-01";"Carpinteria metalica y herreria";720.200545881803;"Ítems"
"2023-12-01";"Carpinteria de madera";771.868369824362;"Ítems"
"2023-12-01";"Ascensores";675.65942984681;"Ítems"
"2023-12-01";"Vidrios";754.226751890249;"Ítems"
"2023-12-01";"Pintura";658.952535874049;"Ítems"
"2023-12-01";"Otros trabajos y gastos";520.011976958613;"Ítems"
"2024-01-01";"Movimiento de tierras";618.752226498396;"Ítems"
"2024-01-01";"Estructura";658.999683618306;"Ítems"
"2024-01-01";"Albanileria";610.097412799833;"Ítems"
"2024-01-01";"Yeseria";728.431430426826;"Ítems"
"2024-01-01";"Instalacion sanitaria y contraincendio";962.020658115629;"Ítems"
"2024-01-01";"Instalacion de gas";933.763504995323;"Ítems"
"2024-01-01";"Instalacion electrica";749.024307390352;"Ítems"
"2024-01-01";"Carpinteria metalica y herreria";793.173558302803;"Ítems"
"2024-01-01";"Carpinteria de madera";870.452109626195;"Ítems"
"2024-01-01";"Ascensores";945.373845997769;"Ítems"
"2024-01-01";"Vidrios";870.991503624601;"Ítems"
"2024-01-01";"Pintura";716.509324347877;"Ítems"
"2024-01-01";"Otros trabajos y gastos";595.343244425011;"Ítems"
"2024-02-01";"Movimiento de tierras";675.692185501626;"Ítems"
"2024-02-01";"Estructura";683.648568716728;"Ítems"
"2024-02-01";"Albanileria";633.332259026194;"Ítems"
"2024-02-01";"Yeseria";752.892732746915;"Ítems"
